牛博 超话 6月27日 湖北 宜昌 暴雨 三峡 加大 泄洪 量 全市 水淹 被淹 居民 只能 高层 移。 洒水车 清洗 ######微博 	晚间 快乐 	希望 好心情 照常 营业 ，烦 心事 永久 打烊 ######rumor
北京 海淀区 新 冠 疫情 封闭 小区 ：二街坊小区 海淀区 永定路57号院 ）、罗庄北里 1-3号 楼 平房 北四环西路88号院 100号 骚子营 1到6号 院 骚子营 100号 金沟河东路5号院 朱各庄路24号 朱各庄26号院 永定路56号院 、复兴路22号院 、万寿路6号院 朱各庄10号院 朱各庄12号院 、四街坊小区 永定路85号院 ）、五街坊小区 永定路70号院 ）、六街坊小区 （复兴路79号院 ）、九街坊小区 （金沟河路2号院 永金里小区 、金沟河3号院 永定路26号院 永定路17号院 常青园二区 ，三区 、天香颐中里，北里 、、天香颐小区 、汤泉逸墅小区 、旱河路海香园小区 、杏石口路22号院 、世纪金源国际公寓 四季 青营区 、复兴路36号院 、闵航路29号院 、闵航路2号院 、闵庄路36号院 昆明 湖南路9号院 昆明 湖南路 甲 7号 院 圆明园西路1号院 、圆明园西路5号院 、花园路11号院 、花园路15号院 、建安西路32号院 、朗润园 燕南园 小楼 中关村东路80号 中科院 研究生 公寓 、马甸东路19号 金澳国际 、马甸 冠城北园 ，南园 昆明 湖南路62号 远大园世纪城 区 区 区 区 区 、北 北三环中路69号院 上河村 1.2.3 区 北 太平庄路15号院 昆明 湖南路 怡丽南苑 ，北苑 、花园路18号院 电信 宿舍 南 北 马甸西村路北7号院 、西小府22号院 、厢白旗 甲 7号 、香山 老年公寓  爱 暮家 老年公寓 、香山南路65号院 、香山南路8号院 、黄土坡8号院 董四墓 甲 1号 院 、道公府路1号院 、颐和园路35号院 、国际关系学院 小营西路30号院 、小营西路31号院 、小营西路32号院 、北清路26号院 唐家岭1号院 、北清路28号 、北清路20号院 、北清路22号院 大慧寺5号院 大慧寺18号院 民族 大学西路60号院 中关村南大街5号院 万寿寺 甲 27号 总政 歌舞团 宿舍楼 民族 大学西路66号 鑫德家园 民族大学60号院 、魏公村街1号院 、厂洼小区 、万寿寺北里悦园 、万寿寺 甲 3号 院 车 公庄西路12号院 、增光路21号院 、田村 山南8号院 、田村 山南15号院 永定路 乙 1号 院 乐府 江南小区 、三街坊小区 、七街坊小区 、八街坊小区 、花园北路35号院 、大柳树路富海中心 海淀区 永定路57号院 ）、罗庄北里 锦秋家园 小区 手机 健康 码 绿码 变为 黄码， 寸步难 行 ######有道理 	发 作品 	努力 ######rumor
国家 猫 狗 移除 牲畜 类 好多 地方 禁食 狗肉 广西 玉林狗肉节 明目张胆， 广告 高铁 狗肉 来源 检疫 部门 检疫 新冠 肆孽， 未经 检疫 来历 不明 狗肉 餐桌 不晓得 吃出 病 健康 中国 遗失 找 领 平台 微博 视频 ######爱好 想着 权利  想法 不一样 死  邪教 区别 	地方 禁食 狗肉 造谣 狗肉 免检 	字 变形 部门 检疫 不劳 费心 吃 个狗 ？某族 吃 猪牛， 吃 民族 ######rumor
本该 养老 年龄 “钟” 止 疫情 ，度过 “南”关， “山”！ 轶事 窥探者 微博 视频 ######谣言 	假 新闻  昨天 辟谣 	澄清 北京  广州 ######rumor
84岁 终钟 南山 出征 北京 钟老点 ######加油 		######rumor
84岁 钟南山 院士 再度 出征 军人 家 微博 视频 ######老人家 折腾 	走路 步伐 累 半年 时间 紧张 状态 辛苦 	老爷子 累 不听话 点心 ######rumor
北京 最短 时间 找到 密接者 #钟 老年纪  疫情 奔波 辛苦 。 白洛因阿 结婚 微博 视频 ######假 	假 新闻  	######rumor
85岁 高龄 钟南山 院士 ，步履蹒跚 再度 出征 北京协和医院 对此 希望 钟” 止 疫情 ，“南”关 ，“山”河 无恙。 祝愿 祖国 安好！ 上海 西渡 划 时代 传奇 旅 微博 视频 ######谣言 止 智者 	回复 红玲688 表态 	晚上 ######rumor
听说 钟南山 院士 北京 北京 加油， 务必 防护 瓜农 花农 微博 视频 ######心疼 休息 谢谢 	平安顺 遂 	保护好 ######rumor
北京 抗疫##北京战役 男神 北京 缓慢 步伐 莫名 心酸 ，本 年龄 在家 享 福， 每一位 中国 健康 四处 奔波 ，钟 辛苦 ！ 馋 爷 微博 视频 ######微博 评论 恢复 	辟谣 	太 优秀 ######rumor
媒体 84岁 钟南山 院士 空降 北京 本该 养老 年龄 “钟” 止 疫情 ，度过 “南”关， 治愈 视频  治愈 视频 微博 视频 ######成 战胜 新 冠 肺炎 精神 支柱 	钟老 位 英雄 	不容易 ######rumor
